# --------------------------------------------------
# nrow : 113
# ncol : 2
# comment : Covariate AMS data for stations 208003, data version 5.0.
# time_generated : 2025-10-01 14:13:04
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
YEAR,OBS_STREAMFLOW_AMS[m3.s-1],AWRAL_STREAMFLOW_AMS[mm.day-1]
1911,,4.68903
1912,,35.31744
1913,,5.52200
1914,,15.37604
1915,,3.53501
1916,,6.07514
1917,,5.79750
1918,,6.50765
1919,,2.48863
1920,,19.74749
1921,,14.17701
1922,,2.10607
1923,,3.39945
1924,,11.99033
1925,,9.07728
1926,,20.20230
1927,,13.09226
1928,,40.94885
1929,,33.26779
1930,,31.48822
1931,,7.62987
1932,,4.56197
1933,,10.88557
1934,,5.27489
1935,,8.19514
1936,,7.64137
1937,,13.72060
1938,,15.80347
1939,,1.39367
1940,,2.67045
1941,,4.80053
1942,,14.79370
1943,,4.25939
1944,,16.30323
1945,1405.22266,32.50207
1946,278.57397,2.82490
1947,1724.05615,21.93505
1948,1049.18909,19.75996
1949,1242.69861,23.98170
1950,1281.84216,25.14554
1951,926.27893,19.65517
1952,263.65869,6.93954
1953,1928.69849,12.30499
1954,880.61896,29.25113
1955,2581.03223,30.17382
1956,1507.29529,8.12387
1957,99.69171,1.50941
1958,535.01575,10.55405
1959,430.39319,6.41670
1960,498.00897,2.81894
1961,899.22327,16.44344
1962,1070.10278,33.22676
1963,283.36780,4.17516
1964,82.65594,4.04319
1965,66.27657,1.38843
1966,661.56116,9.56788
1967,1034.52283,25.26705
1968,535.30914,14.12859
1969,290.68887,4.68824
1970,,24.71492
1971,952.25800,17.61394
1972,948.08917,12.18964
1973,1138.59827,18.68784
1974,283.15295,4.00589
1975,1050.98096,27.33471
1976,1044.43188,25.37569
1977,3453.35278,42.59423
1978,287.95984,10.81489
1979,346.00189,2.12817
1980,511.09222,3.49511
1981,280.98199,9.23981
1982,331.02652,10.91338
1983,485.81638,11.37347
1984,658.99994,19.81593
1985,146.68719,5.68948
1986,261.96713,4.42838
1987,700.86462,9.95738
1988,650.69427,12.19058
1989,447.92160,50.47809
1990,237.92450,3.98748
1991,449.51074,9.04995
1992,215.91635,5.01544
1993,57.09322,2.00304
1994,1593.79517,17.69516
1995,546.11224,6.01924
1996,206.04904,8.11286
1997,158.90872,7.78709
1998,892.80048,21.25902
1999,577.15625,18.68579
2000,1123.64062,35.36583
2001,240.11113,4.91167
2002,431.69644,9.28701
2003,282.78949,7.80549
2004,1098.25513,13.41750
2005,114.03624,4.17080
2006,539.29962,6.37518
2007,691.73981,17.38474
2008,867.99438,22.79082
2009,218.21649,7.06751
2010,1583.15979,37.08543
2011,919.67133,24.21587
2012,1147.56970,32.39535
2013,105.76791,2.73263
2014,235.56793,6.02530
2015,343.61896,13.29706
2016,650.01239,18.38274
2017,305.62302,12.53120
2018,51.34075,1.68302
2019,1014.09631,11.69608
2020,2428.51074,51.11780
2021,1184.95032,29.60067
2022,110.43405,3.66880
2023,28.48000,3.65128
