# --------------------------------------------------
# nrow : 39
# ncol : 9
# comment : Station list
# time_generated : 2025-10-01 16:07:55
# author : Julien Lerat, CSIRO Environment
# source_file : M000_extract_covariate_data.py
# --------------------------------------------------
STATIONID,NAME,CATCHMENTAREA[km2],LONGITUDE[arc_degree],LATITUDE[arc_degree],DURATION[yr],STREAMFLOW_MEAN[mm/yr],PRECIPITATION_MEAN[mm/yr],MANNKENDALL[-],KENDALLTAUHIGH_ALL[-]
110003,Barron River At Picnic Crossing,228.00000,145.53857,-17.25911,97.98220,676.09003,1836.57776,0.17865,0.53488
111101,Russell River At Bucklands,315.00000,145.96727,-17.38595,105.56879,3242.21362,3444.82593,0.33729,0.47596
120002,Burdekin River At Sellheim,36260.00000,146.43906,-20.00627,76.26831,139.17429,755.18066,0.40458,0.49425
132001,Calliope River At Castlehope,1288.00000,151.09756,-23.98498,85.22929,153.96387,1039.70605,0.33266,0.75798
138001,Mary River At Miva,4755.00000,152.49567,-25.95333,113.75770,260.95612,1142.40454,0.32584,0.80082
138107,Six Mile Creek At Cooran,186.00000,152.81367,-26.33062,76.59959,510.06079,1609.74780,0.47098,0.55793
143303,Stanley R At Peachester,104.00000,152.84158,-26.83851,96.26283,865.10797,1748.98303,0.34277,0.56736
145102,Albert River At Bromfleet,544.00000,153.10651,-27.90915,105.24298,255.68617,1208.08948,0.20045,0.51311
208003,Gloucester River At Doon Ayre,1610.00000,152.09737,-31.89657,78.60096,359.55029,1149.50806,0.02618,0.34403
208006,Barrington River At U/S Rocky Crossing,630.00000,151.87086,-32.03747,78.16290,536.22675,1247.51489,0.33037,0.39153
208007,Nowendoc River At Nowendoc,218.00000,151.71616,-31.51625,77.47844,321.40286,1046.83240,0.03899,0.34522
210014,Rouchel Brook At Rouchel Brook (The Vale),395.00000,151.04860,-32.15150,72.76386,152.98666,866.10425,0.37584,0.38065
210022,Allyn River At Halton,205.00000,151.51289,-32.30630,83.06913,459.68768,1170.65393,0.06237,0.27419
212008,Coxs River At Bathurst Road,199.00000,150.08250,-33.42770,72.90623,139.49043,937.14203,0.22803,0.53202
215002,Shoalhaven River At Warri,1450.00000,149.73682,-35.34143,109.08145,184.44640,849.01617,0.44771,0.60635
215004,Corang River At Hockeys,166.00000,150.03310,-35.14730,99.29363,444.47681,1057.17200,0.41879,0.21409
219001,Rutherford Creek At Brown Mountain,15.00000,149.44270,-36.59400,99.75907,620.02087,1132.74316,0.09977,0.25591
222202,Brodribb River @ Sardine Creek,658.00000,148.54733,-37.51153,101.60438,210.78223,1039.89734,0.17378,0.47899
223202,Tambo River @ Swifts Creek,943.00000,147.72882,-37.26878,76.53936,84.17360,922.92145,0.45186,0.40726
224203,Mitchell River @ Glenaladale,3903.00000,147.37479,-37.76359,86.39288,220.48994,1039.03760,0.31046,0.49244
226204,Latrobe River @ Willow Grove,580.00000,146.15500,-38.08833,93.50582,327.22867,1274.06897,0.01256,0.47427
230204,Riddells Creek @ Riddells Creek,79.00000,144.67210,-37.46478,90.31075,106.63545,828.68939,0.48084,0.34077
235202,Gellibrand River @ Upper Gellibrand,53.00000,143.65636,-38.56285,74.30801,620.28998,1580.30566,0.10000,0.32016
401201,Murray River @ Jingellic,6527.00000,147.70000,-35.93500,133.60439,402.78320,1086.50623,0.07178,0.49676
401210,Snowy Creek @ Below Granite Flat,407.00000,147.41338,-36.56853,70.72690,476.97519,1501.51306,0.30061,0.20635
401216,Big River @ Jokers Creek,356.00000,147.47218,-36.93272,89.28405,641.20044,1676.24768,0.36813,0.19328
403205,Ovens Rivers @ Bright,495.00000,146.95261,-36.72564,99.01163,446.04388,1546.37244,0.09727,0.47816
407214,Creswick Creek @ Clunes,308.00000,143.78986,-37.29664,80.33128,88.42536,758.64215,0.21827,0.48790
410024,Goodradigbee River At Wee Jasper (Kashmir),1165.00000,148.68690,-35.16570,109.29774,251.24159,1198.08691,0.06998,0.56098
410026,Yass River At Yass,1230.00000,148.91150,-34.83520,108.36687,74.84266,711.61176,0.23659,0.56964
410044,Muttama Creek At Coolac,1025.00000,148.16280,-34.93040,85.44285,53.65416,756.34180,0.38194,0.62562
410047,Tarcutta Creek At Old Borambola,1660.00000,147.65550,-35.16230,85.58521,98.40603,835.48102,0.35318,0.35238
410061,Adelong Creek At Batlow Road,144.00000,148.06850,-35.33230,76.32033,278.09872,1209.36023,0.05984,0.41887
410705,Molonglo River At Burbong,505.00000,149.31322,-35.33561,94.77345,91.29318,777.67072,0.29785,0.47934
412028,Abercrombie River At Abercrombie,2770.00000,149.32510,-33.95470,84.00000,99.97098,806.23053,0.38548,0.41176
412029,Boorowa River At Prossers Crossing,1530.00000,148.81133,-34.14253,85.51677,73.16864,736.27655,0.28840,0.51668
412030,Mandagery Creek Upstream Eugowra (Smithfield),1630.00000,148.44379,-33.37597,85.69746,45.56496,684.50867,0.05224,0.60560
419005,Namoi River At North Cuerindi,2510.00000,150.77847,-30.67862,108.07392,105.99836,824.54272,0.16596,0.39756
605012,Frankland River - Mount Frankland,4508.89014,116.78853,-34.90617,71.73991,39.35974,678.72192,0.09683,0.46446
